Feature 1 (Discrete),Feature 2 (Discrete),Feature 3 (Discrete),Feature 4 (Discrete),Feature 5 (Discrete),Feature 6 (Discrete),Feature 7 (Discrete),Feature 8 (Discrete),Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19 (Discrete),Feature 20 (Discrete),Feature 21 (Discrete),Feature 22 (Discrete),Feature 23 (Discrete),Feature 24,Target Variable (Discrete)
603,0,172,27,1,1,1,1,64.561,35764.4,35808.5,0.00052203,0.081,1436.082,2064.1,860.5,,13.05,20,1,1,21,603,23839.2,1
363,4,112,1,1,1,1,1,-12.497,35766.4,35806.2,0.00047404,0.063,1436.105,3150.2,1368.4,7400.005,15.03,22,2,0,79,363,26927.5,1
255,3,92,2,1,0,4,0,0.002,607.5,623.1,0.00115005,97.991,96.993,4.4,,,,82,1,5,11,255,40035.4,0
34,7,11,5,0,0,1,3,0.003,558.1,582.1,0.00173003,64.883,96.063,53.5,,,3.05,16,6,3,0,34,39133.3,2
106,16,17,17,1,1,1,1,28.212,35768.5,35804.4,0.00042701,0.071,1436.122,3643.2,2000.2,7000.002,15.04,2,1,3,24,106,26853.4,1
73,3,26,10,1,0,0,0,0.005,610.3,694.5,0.00598002,98.201,97.801,12.5,12.2,,,28,1,5,30,73,37792.5,1
461,3,145,2,1,0,1,3,0.001,1412.1,1415.4,0.00019301,52.004,114.104,450.3,350.3,1500.004,10.05,1,1,1,61,461,25884.5,1
533,3,146,2,3,1,9,1,-104.765,35768.1,35801.3,0.00039102,0.285,1436.001,3200.3,1533.3,2300.004,7.01,2,1,1,67,533,29155.3,0
1256,0,334,1,1,1,1,1,138.042,35778.3,35795.5,0.00020203,0.012,1436.103,4640.5,2500.2,16000.002,13.04,1,1,13,64,1261,28364.1,1
795,0,202,2,3,0,1,3,0.001,493.1,800.2,0.02190005,64.782,97.653,3.5,,,,61,1,1,10,795,40971.1,15
636,0,175,2,1,1,1,1,328.502,35778.2,35793.5,0.00017805,0.025,1436.103,4100.1,,11000.005,16.03,1,1,0,19,636,33153.2,1
1411,0,191,14,0,0,1,0,0.003,520.2,540.2,0.00145001,97.461,95.235,1.4,,,,162,12,10,63,1416,40919.1,2
943,3,245,2,1,0,1,3,0.005,770.3,776.1,0.00042001,45.002,100.305,45.3,22.5,160.002,5.03,12,1,18,103,943,25113.3,1
1325,3,367,2,2,1,1,1,-11.995,35785.2,35786.3,1.19E-05,0.005,1436.103,5990.5,3450.3,13000.001,,2,1,1,67,1330,36108.4,1
945,3,245,2,1,0,1,3,0.004,770.2,776.3,0.00042002,45.003,100.305,45.5,22.2,160.005,5.01,12,1,18,103,945,25115.2,1
374,0,27,10,1,0,0,2,0.003,630.2,649.2,0.00136004,6.003,97.504,6.5,6.5,,,97,4,9,39,374,40932.5,1
6,0,1,1,1,1,1,1,159.002,35777.3,35794.2,0.00020205,0.012,1436.083,2894.1,1730.4,6800.004,15.05,3,1,3,5,6,25924.3,1
1403,0,385,14,0,0,1,0,0.001,517.4,535.5,0.00131003,97.454,95.161,12.2,,,,317,12,10,63,1408,40902.1,2
426,0,32,15,1,2,1,3,0.002,17231.2,25971.2,0.15600001,49.781,776.252,733.5,660.1,,12.04,117,32,0,90,426,40128.5,6
226,3,87,2,1,1,1,1,-99.209,35786.1,35786.4,4.00E-08,0.031,1436.105,5900.2,,,,78,1,13,64,226,32729.5,1
890,33,228,57,3,0,4,0,0.002,691.5,705.4,0.00099002,98.201,98.703,300.5,,,7.04,159,23,5,30,890,37789.2,0
957,3,245,2,1,0,1,3,0.003,788.3,795.4,0.00048904,45.002,100.703,45.2,22.5,160.005,5.04,12,1,18,14,957,25981.2,1
397,12,121,14,3,0,3,0,0.001,827.2,828.1,6.95E-05,98.814,101.452,2300.2,,,,106,12,10,85,397,39260.5,0
300,3,3,2,2,1,1,1,-12.146,35774.5,35799.2,0.00029701,0.045,1436.121,1156.1,884.4,1240.002,10.02,21,1,1,21,300,26575.4,1
647,3,174,2,1,1,1,1,-57.995,35782.2,35792.2,0.00011901,0.015,1436.143,3659.1,2389.4,9900.004,15.02,29,1,13,64,647,26451.5,1
437,0,32,15,1,2,1,3,0.002,23240.4,23306.3,0.00111001,54.685,846.881,700.3,,1420.001,12.01,32,33,0,26,437,37846.3,6
419,3,131,2,1,1,1,1,-99.019,35775.1,35798.3,0.00027305,0.011,1436.102,4640.5,,10000.005,15.05,1,1,13,64,419,29236.1,1
196,3,70,2,8,0,6,0,0.003,702.3,703.5,7.07E-05,98.203,98.802,848.1,,570.004,2.04,61,1,4,47,196,29107.4,0
866,3,225,2,5,2,1,3,0.005,20445.5,20469.1,0.00044703,55.005,729.145,1630.1,,1136.005,12.01,2,1,1,102,866,40534.3,6
1092,3,277,2,2,0,2,3,0.002,1015.2,1200.2,0.01240005,63.402,107.403,5000.5,,,,3,1,1,10,1093,31701.2,0
1213,7,40,5,2,0,1,4,0.001,1466.4,1506.4,0.00255002,82.504,115.701,225.2,,,3.01,276,6,7,43,1218,27465.3,1
562,20,58,18,3,1,1,1,48.045,35776.1,35796.5,0.00023703,0.043,1436.074,1825.4,,,43895.02,39,18,6,101,562,27807.2,3
378,7,117,5,1,1,1,1,145.001,35785.4,35788.3,3.56E-05,0.042,1436.101,2542.5,,6000.001,12.03,98,29,3,24,378,28629.2,1
1112,3,283,2,1,1,1,1,-100.996,35781.4,35793.1,0.00014201,0.052,1436.104,,2561.5,5000.003,15.01,12,1,3,20,1117,36516.4,1
936,0,241,8,3,0,1,0,0.001,594.2,797.3,0.01440004,97.805,98.704,3.3,,,,211,40,5,11,936,39420.2,2
1310,3,360,2,3,3,3,1,0.004,591.1,30534.5,0.68300001,10.034,539.063,648.4,,,,299,1,1,10,1315,38752.1,0
950,3,245,2,1,0,1,3,0.002,787.3,796.1,0.00062804,45.005,100.703,45.4,22.5,160.003,5.02,12,1,18,14,950,25414.2,1
442,0,137,14,3,1,4,1,,35792.2,35796.4,4.74E-05,0.604,1436.101,4600.2,,,8.01,118,12,2,32,442,41194.3,0
1188,3,305,2,1,1,1,1,-94.925,35785.2,35787.4,2.38E-05,0.062,1436.105,6100.3,3655.3,,12.01,2,1,0,19,1193,32018.3,1
428,0,32,15,1,2,1,3,0.002,23483.5,23530.4,0.00078702,57.404,856.904,723.2,,,12.01,117,32,0,90,428,41550.2,6
280,0,92,2,1,0,4,3,0.004,398.2,402.1,0.00029505,51.602,92.504,4.5,,,,82,1,15,68,280,41480.1,0
82,0,29,1,3,1,1,1,19.992,35766.2,35805.2,0.00046305,0.062,1436.061,4630.4,,,15.01,32,2,0,33,82,37810.3,1
1341,0,372,14,3,0,1,0,0.004,489.1,501.1,0.00087402,97.353,94.513,,,,,104,12,10,54,1346,38999.2,2
559,20,58,18,3,1,1,1,74.002,35763.1,35810.5,0.00055705,0.234,1436.105,1982.2,,,12.03,39,18,6,100,559,39498.3,1
617,20,58,18,3,1,1,1,83.083,35777.4,35796.2,0.00022501,0.033,1436.103,3100.3,,5500.005,12.05,145,18,0,25,617,28911.1,1
1312,0,361,20,0,0,1,0,0.003,642.4,655.5,0.00092602,98.252,97.702,4.2,,,,300,19,6,15,1317,40057.2,2
939,35,244,56,1,1,1,1,164.002,35778.2,35796.4,0.00021301,0.021,1436.121,2858.5,1582.2,3000.002,44118.01,212,1,2,130,939,23227.2,1
611,8,172,27,1,1,1,1,60.303,35784.4,35790.3,7.12E-05,0.065,1436.133,6070.3,3750.3,13000.005,15.05,144,1,3,20,611,39476.2,1
582,0,165,16,3,0,4,0,0.005,506.3,525.4,0.00138004,97.485,94.934,65.1,,50.003,,137,15,5,11,582,40299.5,0
612,8,172,27,1,1,1,1,-54.996,35784.3,35789.4,5.94E-05,0.033,1436.003,6105.5,3360.3,13000.005,15.02,144,1,3,20,612,40384.5,1
997,7,40,5,2,0,4,0,0.002,714.3,733.1,0.00134005,98.302,99.201,7000.3,,,43895.01,15,6,7,96,997,39177.3,0
808,30,208,53,1,1,1,1,91.541,35778.4,35794.3,0.00019002,0.004,1436.104,4900.5,3220.1,10800.002,15.04,2,1,3,20,808,29648.2,1
1328,3,367,2,2,1,1,1,0.005,35785.4,35786.2,1.19E-05,0.002,1436.104,5990.4,3450.1,13000.005,,2,1,1,67,1333,39222.3,1
287,0,92,2,1,0,4,0,0.005,500.5,514.3,0.00102002,97.513,94.752,4.3,,,,82,1,6,45,287,41606.5,0
335,0,108,9,5,0,4,0,0.001,466.1,477.2,0.00080405,97.565,95.405,240.5,,,6.03,23,8,16,77,335,26631.3,0
1250,26,331,24,1,1,1,1,108.015,35778.3,35796.1,0.00021304,0.024,1436.133,2763.2,1700.4,4000.001,15.03,21,1,0,150,1255,25880.5,1
495,4,145,2,1,0,1,3,0.002,1413.4,1414.3,6.42E-05,52.001,114.105,700.5,,1700.001,15.02,30,14,3,94,495,38044.2,1
416,3,132,41,1,1,1,1,-126.967,35781.5,35790.2,0.00010703,0.015,1436.074,4060.4,2630.1,8600.005,15.01,2,1,13,89,416,27954.4,1
1062,7,40,5,2,0,1,4,0.001,1496.5,1504.1,0.00050805,82.491,115.995,280.1,,300.005,5.02,238,6,7,59,1062,40921.3,1
708,3,179,2,11,0,1,4,0.005,776.2,779.4,0.00021003,86.401,100.404,689.1,556.3,1400.002,8.03,152,1,4,111,708,24793.1,1
1179,0,299,2,2,0,1,4,0.005,443.5,886.3,0.03150005,120.305,98.002,5.5,,,,267,1,4,10,1184,39472.5,2
555,15,82,16,0,0,3,0,0.003,668.2,670.4,0.00014204,98.104,98.105,1750.2,,3800.002,5.05,72,15,12,69,555,33492.1,0
821,31,213,1,8,1,9,1,0.002,35791.1,35795.2,4.74E-05,3.102,1436.101,2000.1,1200.5,,12.05,185,11,0,19,821,40732.5,0
1346,3,376,8,7,1,1,1,29.031,35778.2,35792.4,0.00016604,0.103,1436.063,3631.3,1412.5,,15.02,1,1,0,19,1351,28542.1,1
711,3,179,2,11,0,1,4,0.003,747.4,751.2,0.00028101,86.501,99.805,689.3,556.4,1400.003,8.04,152,1,4,111,711,25345.4,1
1351,0,378,14,0,0,1,0,0.003,520.3,539.2,0.00138002,97.463,95.225,10.4,,,,308,12,10,63,1356,40907.5,1
511,7,40,5,5,2,1,3,0.001,19142.3,19378.3,0.00460005,64.665,680.915,1480.1,,1600.004,7.01,101,6,3,20,511,32393.1,6
948,3,245,2,1,0,1,3,0.004,788.1,795.5,0.00048902,45.002,100.704,45.2,22.4,160.003,5.01,12,1,18,14,948,25418.3,1
593,15,171,16,3,0,4,0,0.002,484.5,492.5,0.00058301,97.312,94.374,1600.3,,,5.04,142,15,12,69,593,36104.2,0
675,3,179,2,11,0,1,4,0.001,776.4,779.4,0.00021001,86.402,100.401,689.5,556.4,1400.003,8.05,152,1,3,24,675,24945.2,1
1289,0,350,14,3,1,1,1,155.074,35776.3,35795.1,0.00022504,0.002,1436.035,,,,,104,12,2,32,1294,40892.3,2
1224,15,184,16,1,1,1,1,162.031,35779.4,35793.2,0.00016602,0.014,1436.091,4051.5,2160.4,5400.004,10.01,2,1,0,13,1229,26095.5,1
900,3,231,2,3,0,8,0,0.001,845.5,864.3,0.00131001,98.905,102.004,1420.5,,,3.04,7,1,4,47,900,33591.4,0
479,4,145,2,1,0,1,3,0.001,1413.1,1414.1,6.42E-05,52.003,114.104,700.2,,1700.005,15.02,30,14,3,26,479,37193.1,1
685,3,179,2,11,0,1,4,0.004,776.1,779.3,0.00021003,86.402,100.402,689.1,556.5,1400.001,8.05,152,1,4,111,685,24905.4,1
1103,3,280,2,2,1,19,1,-30.398,35770.3,35803.2,0.00039104,4.922,14.362,,,,,143,1,1,67,1108,37377.5,1
861,3,225,2,5,2,1,3,0.004,20184.2,20247.1,0.00118005,55.091,719.321,1630.4,,1136.005,10.04,2,1,1,10,861,39166.1,6
668,12,179,2,11,0,1,4,0.002,775.2,780.2,0.00035002,86.403,100.401,689.5,556.4,1400.001,8.02,152,1,10,54,668,25778.2,1
964,3,245,2,1,0,1,3,0.001,772.3,774.3,0.00014002,45.001,100.304,45.3,22.5,160.001,5.04,12,1,18,103,964,25118.5,1
984,0,245,2,1,0,1,3,0.004,614.5,658.5,0.00314002,47.001,97.431,172.2,,400.001,5.04,213,1,1,2,984,41180.3,1
399,3,2,2,2,0,6,3,0.002,1101.2,1107.5,0.00040101,122.993,107.351,,,,,108,1,4,10,399,37162.2,0
95,15,34,16,3,0,4,0,0.004,506.1,507.2,7.27E-05,97.481,94.755,500.1,,,3.02,37,15,5,11,95,40298.4,0
284,0,92,2,1,0,4,0,0.004,500.5,514.2,0.00102005,97.512,94.754,4.4,,,,82,1,6,45,284,41618.4,0
441,0,136,14,3,0,4,0,0.005,620.4,636.2,0.00114001,98.022,97.062,1000.5,,,43959.04,106,12,10,51,441,40118.5,0
492,4,145,2,1,0,1,3,0.003,1413.2,1414.1,6.42E-05,52.001,114.102,700.5,,1700.001,15.05,30,14,3,94,492,38045.4,1
155,0,9,3,3,0,4,0,0.005,500.1,517.2,0.00124001,97.505,94.701,130.2,,,,13,3,9,45,155,41604.2,0
1054,7,40,5,2,0,1,4,0.002,1475.3,1514.3,0.00248001,82.504,115.863,250.3,,300.005,5.05,24,6,7,59,1054,39059.4,1
696,3,179,2,11,0,1,4,0.004,776.3,779.4,0.00021004,86.404,100.404,689.3,556.3,1400.004,8.02,152,1,4,111,696,25273.4,1
477,3,145,2,1,0,1,3,0.002,1412.3,1415.3,0.00019302,52.003,114.101,450.3,350.2,1500.003,10.04,125,34,3,26,477,31576.1,1
1348,0,378,14,0,0,1,0,0.001,518.5,535.5,0.00123001,97.462,95.172,25.3,,,,308,12,10,63,1353,40903.4,1
735,0,181,18,3,1,1,1,32.501,35700.3,35874.2,0.00206003,5.091,1436.131,1425.2,598.2,1600.002,12.03,154,18,6,114,735,41384.5,14
993,7,40,5,2,0,1,4,0.005,968.2,1022.4,0.00367002,83.001,105.002,820.1,,,43864.03,217,6,7,43,993,36519.1,1
101,16,17,17,1,1,1,1,19.302,35772.3,35798.1,0.00030803,0.053,1436.033,4500.3,,13000.004,15.01,20,1,0,19,101,31306.2,1
941,35,242,56,1,1,1,1,152.052,35774.1,35799.3,0.00029701,0.034,1436.101,2400.1,,3800.002,15.03,12,1,0,12,941,32252.1,1
1319,0,364,80,3,1,1,1,131.971,35782.1,35791.3,0.00010703,0.023,1436.105,2600.5,,,15.05,20,1,0,19,1324,32767.5,1
140,12,42,14,7,1,1,1,144.504,35768.5,35803.5,0.00041501,1.784,1436.051,2200.3,,,,44,12,2,41,140,36287.3,6
827,25,215,34,6,1,1,1,-114.899,35784.2,35791.4,8.30E-05,0.074,1436.162,2900.3,,3500.001,15.04,12,1,0,125,827,39035.1,1
410,3,127,2,3,0,6,4,0.005,790.4,823.5,0.00230002,70.005,101.003,215.1,41.2,55.004,3.05,113,1,4,14,410,24920.2,0
79,12,28,14,1,1,1,1,76.504,35864.1,35874.4,0.00011804,0.034,1440.311,5054.1,,,15.04,30,11,2,32,79,38107.2,1
893,0,229,58,3,1,1,1,-6.997,35795.3,35813.1,0.00021302,0.053,1436.233,3200.1,1700.2,3700.003,15.05,30,2,0,12,893,36830.2,1
253,3,92,2,1,0,4,0,0.002,606.3,620.4,0.00100003,97.994,96.964,4.2,,,,82,1,5,11,253,40026.4,0
249,3,92,2,1,0,4,0,0.002,608.3,624.5,0.00115001,97.993,97.023,4.1,,,,82,1,5,11,249,40041.3,0
1145,12,120,14,3,0,1,0,0.003,784.1,802.3,0.00126001,98.404,100.704,300.1,,,,261,12,11,53,1150,37931.5,0
205,0,74,30,8,0,8,4,0.003,751.4,849.5,0.00683002,72.005,100.904,70.3,,46.002,2.04,12,1,4,58,205,29051.2,0
393,12,121,14,3,1,3,1,105.005,35760.2,35816.4,0.00066401,2.195,1436.193,1390.1,620.2,,3.01,106,12,2,42,393,38049.5,0
898,3,231,2,3,0,9,0,0.001,800.2,816.3,0.00111004,98.703,101.002,2223.4,1500.5,830.004,3.05,201,1,4,57,898,25338.4,0
88,12,33,14,1,1,1,1,105.551,35780.3,35792.5,0.00014205,0.023,1436.071,3480.3,2500.1,10000.005,15.01,2,1,3,24,88,25657.4,1
242,3,91,2,2,0,9,0,0.002,843.2,852.4,0.00062303,98.905,101.873,1154.5,825.3,900.003,5.03,21,1,4,57,242,28054.2,0
1282,0,344,14,3,0,1,0,0.004,392.5,522.5,0.00952005,97.421,93.734,20.2,,,,205,12,10,63,1287,40899.2,2
349,4,112,1,1,1,1,1,33.142,35781.4,35790.4,0.00010704,0.052,1436.065,1525.3,1300.1,1600.002,10.03,2,1,0,12,349,27948.5,1
513,7,40,5,5,2,1,3,0.004,19134.2,19145.5,0.00021602,64.793,676.102,1480.5,,1600.001,7.05,101,6,3,20,513,33379.2,6
1386,0,382,14,2,0,4,0,0.002,460.3,482.5,0.00161005,97.242,94.025,1040.5,,,,315,12,10,51,1391,41026.5,0
250,3,92,2,1,0,4,0,0.005,607.3,622.1,0.00107005,97.993,96.985,4.4,,,,82,1,5,11,250,40031.2,0
820,31,213,1,8,1,9,1,0.004,35784.4,35791.5,8.30E-05,1.805,1436.155,2000.1,,,7.03,30,2,0,19,820,38552.3,0
1159,3,291,2,1,1,1,1,-95.995,35774.2,35798.4,0.00028504,0.004,1436.003,5800.5,,20000.003,15.02,1,1,3,20,1164,35493.5,1
1156,3,291,2,1,3,1,7,0.005,12849.1,47048.5,0.47100002,63.305,1148.431,3792.2,1570.3,,15.03,1,1,3,24,1161,26483.4,1
1260,0,338,74,1,1,1,1,119.504,35775.3,35798.2,0.00027305,0.002,1436.101,6505.2,,14000.002,12.05,1,1,0,25,1265,28786.1,1
1111,0,282,15,3,0,3,0,0.001,802.2,804.5,0.00013901,98.604,100.904,2300.4,2146.1,,7.01,30,2,7,59,1116,41335.4,0
1396,20,58,18,3,0,1,0,0.002,802.5,824.2,0.00153002,98.704,101.201,92.4,,,2.02,39,18,6,136,1401,37388.5,5
1290,42,351,76,3,1,1,1,-87.199,35773.3,35799.5,0.00030805,0.271,1436.073,5000.4,,,,104,12,2,32,1295,39481.2,1
10,3,2,2,2,1,2,1,44.003,35714.4,35937.2,0.00264003,2.891,1438.805,5000.3,,,,6,1,1,9,10,33490.5,0
276,0,92,2,1,0,4,3,0.002,404.5,408.3,0.00029501,51.603,92.503,4.3,,,,82,1,15,68,276,41486.1,0
193,11,67,10,1,1,1,1,-128.997,35782.5,35788.3,7.12E-05,0.053,1436.052,5585.2,,,15.04,30,2,3,20,193,33453.1,1
1172,0,297,2,1,0,4,0,0.002,500.4,515.2,0.00109005,97.504,94.783,110.2,,,,1,1,6,45,1177,41601.2,0
719,3,179,2,11,0,1,4,0.005,776.4,779.5,0.00021002,86.403,100.403,689.1,556.5,1400.002,8.05,152,1,4,111,719,25531.2,1
504,7,40,5,5,2,1,3,0.005,19103.4,19178.2,0.00147005,64.835,676.155,935.3,,1700.002,10.04,101,6,7,96,504,40315.3,6
876,3,225,2,5,2,1,3,0.003,20104.3,20266.5,0.00305005,55.005,718.094,2217.5,980.2,1136.003,10.02,3,1,1,47,876,26690.4,6
744,0,184,16,1,1,1,1,154.004,35861.2,35924.5,0.00074501,0.023,1441.503,4500.4,,,15.03,1,1,1,2,744,41471.2,1
434,0,32,15,1,2,1,3,0.003,23550.5,23618.2,0.00114002,54.961,860.514,723.2,,,12.04,117,32,0,90,434,41175.3,6
999,3,180,2,3,0,1,3,0.005,499.4,507.2,0.00058204,40.512,94.684,1.4,,,,207,1,18,58,999,39381.3,2
443,0,136,14,3,0,4,0,0.004,484.1,492.4,0.00058304,97.305,94.361,1000.3,,,43959.04,106,12,10,51,443,40701.5,0
45,3,18,2,1,1,1,1,-130.926,35774.3,35797.4,0.00027301,0.042,1436.073,2340.5,2316.2,6500.002,15.02,3,1,1,22,45,28252.5,1
526,7,40,5,5,2,1,3,0.002,19139.3,19212.4,0.00143005,64.781,677.544,1415.1,,1000.003,7.05,101,6,3,20,526,37869.2,6
1059,7,40,5,2,0,1,4,0.001,1478.5,1510.3,0.00203004,82.453,115.854,280.5,,300.001,5.03,238,6,7,59,1059,39762.2,1
385,7,117,5,1,1,1,1,-13.998,35784.2,35788.5,4.75E-05,0.034,1436.094,2100.2,,,15.01,101,6,3,83,385,40895.4,1
1088,3,3,2,2,1,10,1,-96.835,35778.4,35795.1,0.00020202,6.451,1436.113,4500.3,,,12.02,7,1,1,10,1088,37481.5,0
1273,23,342,33,1,1,1,1,98.605,35766.2,35807.2,0.00048604,5.844,1436.105,5180.1,,,12.04,2,1,13,64,1278,32404.5,1
799,0,185,14,1,0,15,0,0.003,640.2,663.1,0.00164001,98.041,97.771,55.1,,,,156,12,11,53,799,40958.1,0
53,3,18,2,1,1,1,1,-71.979,35778.4,35795.2,0.00020202,0.051,1436.121,3901.3,2500.4,,15.05,20,1,3,24,53,26580.3,1
903,3,17,32,1,1,1,1,-37.368,35778.1,35795.3,0.00020204,0.025,1436.105,5396.5,,,16.02,22,2,3,82,903,28526.3,1
342,25,111,1,1,1,1,1,-116.796,35779.1,35795.2,0.00019003,0.024,1436.104,5474.5,2317.2,12690.004,15.05,1,1,3,20,342,39122.5,1
132,12,42,14,7,2,1,3,0.001,21477.5,21574.1,0.00174005,55.005,773.103,3800.5,,,8.05,44,12,2,32,132,38775.5,6
1017,0,258,16,0,0,3,0,0.003,506.4,553.2,0.00341005,97.471,95.231,49.4,,,,227,15,5,11,1017,40301.1,0
1167,8,224,27,2,1,1,1,52.801,35700.5,35803.5,0.00122003,0.075,1436.104,4635.5,2170.1,6000.001,15.05,10,16,0,12,1172,32294.4,1
1049,7,40,5,2,0,1,4,0.003,1493.2,1496.2,0.00019102,82.502,115.901,225.3,,,3.01,24,6,7,59,1049,37152.3,1
1132,12,120,14,3,0,1,0,0.002,579.3,606.3,0.00194005,97.805,96.505,,,,2.04,259,12,10,51,1137,28413.3,5
195,3,69,2,2,1,1,1,106.005,35736.5,35854.1,0.00140001,0.043,1436.505,,,,,3,1,1,10,195,40208.3,1
1304,3,125,2,2,1,1,1,-21.909,35738.5,35835.4,0.00115004,3.791,1436.113,3200.2,1545.5,2800.002,4.02,2,1,1,153,1309,23967.3,1
1119,0,283,2,1,1,1,1,95.001,35777.4,35795.1,0.00021302,0.023,1436.071,3138.5,,,15.02,12,1,1,2,1124,39460.1,1
823,32,213,1,8,1,9,1,9.274,35781.4,35793.2,0.00014204,0.465,1436.104,2000.4,1000.3,700.002,12.05,186,2,0,12,823,27509.2,0
508,7,40,5,5,2,1,3,0.005,19130.5,19130.1,1.00E-08,64.804,675.751,1480.1,,1600.005,7.02,101,6,3,24,508,29671.3,6
580,12,163,14,3,0,4,0,0.001,621.3,673.3,0.00371004,97.804,97.702,470.2,,,3.02,136,12,10,54,580,33321.1,0
1407,12,382,14,2,1,1,1,130.003,35773.2,35799.2,0.00030802,0.553,1436.054,2300.2,,,,104,12,2,32,1412,37234.2,1
1238,3,180,2,3,1,1,1,-40.749,35768.2,35802.5,0.00040305,1.645,1436.044,3180.4,1600.2,2300.001,11.05,2,1,1,21,1243,27566.2,1
